id,age,female,area,educ_years,income,pol_interest,pol_know,gotv,vote_intent
549,41,0,urban,12,32.5,5,1,0,6.1
550,59,1,suburban,15,58.9,6,7,1,7.7
551,53,1,rural,14,25.4,5,4,1,7.9
552,31,1,urban,13,48.5,7,6,0,7.7
553,18,1,urban,12,20.8,3,2,0,4.2
554,35,0,rural,12,53.9,4,4,0,4.5
555,28,1,urban,12,22.0,6,5,0,2.6
556,60,1,urban,16,46.0,5,6,0,5.3
557,37,1,urban,12,17.6,3,3,0,4.8
558,27,0,rural,11,49.6,3,3,0,3.7
559,35,1,suburban,15,52.3,3,3,0,2.0
560,29,0,suburban,13,37.8,2,4,0,3.4
561,29,1,suburban,11,15.8,5,3,1,6.5
562,36,0,rural,11,46.6,2,2,0,3.3
563,45,1,suburban,14,112.2,6,6,0,6.3
564,53,1,suburban,11,52.5,6,4,1,7.9
565,46,1,urban,11,23.7,3,2,1,7.3
566,35,1,rural,19,71.1,8,7,1,6.7
567,49,1,rural,13,50.8,3,3,0,4.3
568,66,0,suburban,12,32.9,4,3,0,5.4
569,65,0,suburban,15,46.4,4,5,0,6.5
570,45,0,rural,15,43.2,6,5,0,6.2
571,67,1,suburban,13,46.4,5,5,0,6.1
572,64,1,rural,12,85.1,4,4,1,5.8
573,67,1,rural,11,40.2,1,2,0,4.8
574,46,0,urban,12,27.5,5,5,0,4.8
575,47,1,urban,13,41.3,5,7,0,4.7
576,53,1,urban,8,28.4,5,3,1,5.1
577,65,1,urban,15,40.8,3,4,0,3.6
578,24,0,suburban,12,29.0,5,4,0,5.5
579,60,1,suburban,16,59.6,4,3,0,6.6
580,55,1,rural,13,83.6,6,6,1,5.3
581,70,0,urban,13,23.1,4,5,0,7.7
582,54,1,rural,14,58.7,7,7,0,5.7
583,50,1,urban,13,43.0,8,5,1,6.9
584,64,0,suburban,17,33.0,7,8,0,7.4
585,56,1,urban,9,36.7,3,2,0,2.2
586,26,1,rural,14,14.5,3,4,0,3.4
587,58,1,rural,12,48.2,6,6,1,6.7
588,45,0,suburban,12,36.9,4,4,0,6.4
589,86,1,suburban,20,46.2,10,8,1,8.1
590,43,1,urban,12,88.9,5,4,0,5.5
591,38,1,urban,13,61.4,4,2,0,4.6
592,70,0,suburban,12,26.4,4,2,0,4.1
593,63,1,rural,12,27.6,9,8,0,9.9
594,32,1,rural,14,51.1,7,5,0,6.3
595,54,0,urban,17,38.5,9,8,1,7.1
596,63,0,rural,12,50.2,5,3,0,3.8
597,48,1,urban,14,29.8,7,5,1,7.0
598,31,1,rural,18,84.5,7,5,0,5.9
599,39,1,suburban,14,57.4,4,4,0,5.3
600,50,1,suburban,9,53.1,6,4,0,4.1
601,55,0,suburban,10,19.1,5,3,0,3.4
602,23,0,urban,9,35.3,3,2,0,3.0
603,70,0,rural,12,48.6,0,2,0,2.4
604,37,1,urban,13,63.8,7,7,1,6.9
605,66,1,rural,10,25.3,5,1,0,6.1
606,79,0,suburban,10,21.4,6,5,0,3.6
607,61,0,urban,9,33.9,7,2,0,6.1
608,60,1,rural,14,82.2,4,6,0,6.2
609,59,1,suburban,14,97.4,8,3,0,8.2
610,35,0,suburban,13,39.1,7,1,0,5.7
611,40,1,urban,11,31.0,7,3,0,6.0
612,38,1,urban,18,74.9,8,7,1,6.8
613,53,0,urban,16,100.3,5,1,0,2.6
614,79,0,suburban,16,29.9,4,5,0,6.8
615,59,1,suburban,13,31.9,5,1,0,4.6
616,40,1,rural,13,90.1,6,7,1,6.5
617,53,1,urban,20,113.9,6,5,0,4.6
618,74,1,urban,15,43.5,3,0,0,4.7
619,56,0,rural,11,26.9,5,3,0,5.5
620,66,1,rural,13,46.1,1,3,0,4.6
621,81,1,urban,9,41.3,5,4,1,7.9
622,78,1,urban,15,52.3,3,4,0,5.3
623,39,1,rural,16,67.0,9,4,0,7.2
624,52,1,urban,15,39.8,3,3,0,4.9
625,45,1,rural,8,33.6,5,4,0,4.8
626,54,1,urban,14,69.2,7,4,1,8.6
627,44,1,rural,12,60.3,7,6,0,6.3
628,37,1,suburban,16,106.1,4,3,0,5.0
629,55,0,suburban,12,36.9,6,7,0,7.7
630,47,1,urban,11,67.3,2,1,0,1.1
631,52,0,rural,14,58.8,7,4,0,5.7
632,63,1,urban,19,103.1,8,8,1,9.1
633,35,1,suburban,11,34.2,5,1,0,3.9
634,23,0,suburban,12,42.1,5,2,0,4.8
635,45,0,suburban,11,34.6,4,3,0,4.6
636,61,0,rural,12,38.1,4,2,1,7.2
637,51,0,rural,13,32.1,8,5,0,6.2
638,31,1,urban,13,60.1,2,0,0,2.1
639,70,1,suburban,13,32.8,7,3,0,6.6
640,33,1,suburban,14,56.4,6,1,0,6.9
641,46,1,urban,12,17.3,6,2,0,4.6
642,69,0,rural,12,36.0,5,4,0,5.8
643,32,1,rural,14,37.6,6,7,1,6.4
644,21,0,urban,12,33.2,6,7,1,8.1
645,47,0,suburban,15,33.2,5,2,0,5.8
646,28,1,urban,16,67.3,3,5,0,3.9
647,57,1,urban,17,53.3,5,6,0,4.9
648,33,1,rural,17,48.0,3,5,1,2.5
649,38,0,rural,15,38.7,7,5,1,6.8
650,46,1,rural,10,55.1,4,3,0,4.4
651,44,1,urban,12,28.1,5,1,0,4.1
652,52,0,suburban,10,43.6,5,6,0,6.6
653,35,1,urban,13,73.5,3,4,0,1.9
654,69,1,urban,12,42.8,4,3,1,7.5
655,35,0,suburban,15,70.7,3,2,0,5.7
656,69,1,suburban,14,64.0,7,4,1,7.8
657,66,1,rural,8,31.9,4,3,0,5.9
658,41,1,urban,17,71.3,3,6,0,3.7
659,74,1,suburban,19,56.7,5,5,1,8.1
660,44,1,suburban,13,55.4,5,4,0,6.7
661,44,0,suburban,12,17.6,5,2,0,5.3
662,66,1,suburban,16,29.7,5,6,1,7.1
663,35,0,rural,14,79.5,4,2,0,3.9
664,70,0,rural,17,60.4,6,6,0,6.5
665,22,0,urban,11,30.7,2,2,0,1.7
666,38,1,urban,17,66.4,7,7,1,7.2
667,48,1,urban,13,53.6,4,3,0,3.2
668,46,1,urban,14,48.9,5,7,0,7.0
669,18,0,rural,11,20.4,3,2,0,2.6
670,47,1,urban,14,31.4,5,6,0,4.2
671,54,0,suburban,18,63.2,6,3,0,4.3
672,64,0,urban,16,96.0,5,1,0,3.8
673,39,0,rural,13,24.3,5,4,0,4.2
674,45,1,suburban,12,35.2,8,8,0,6.6
675,19,1,suburban,11,31.9,4,2,0,2.4
676,18,1,suburban,15,32.2,0,0,0,1.0
677,22,0,urban,10,27.2,2,2,0,1.0
678,48,1,suburban,15,60.5,7,6,0,6.9
679,52,0,rural,12,31.4,7,6,0,5.0
680,26,0,urban,12,14.8,4,3,0,3.6
681,49,1,urban,12,71.6,5,3,0,5.8
682,53,0,suburban,9,36.9,5,4,0,5.5
683,50,1,urban,16,53.6,10,7,1,10.0
684,59,0,urban,12,87.7,5,2,0,6.5
685,62,0,rural,15,41.4,2,6,1,5.3
686,22,0,rural,12,21.7,5,0,0,4.1
687,56,1,suburban,12,40.0,6,7,0,7.6
688,71,0,suburban,15,50.1,4,3,1,7.2
689,33,0,rural,11,31.5,2,0,0,5.0
690,34,1,suburban,17,79.7,4,8,0,4.8
691,55,0,urban,12,29.7,5,3,0,5.2
692,48,1,rural,15,46.2,4,5,0,5.0
693,79,0,urban,19,85.5,5,8,0,5.7
694,42,0,rural,10,36.0,5,2,0,5.3
695,46,1,rural,12,39.0,6,3,0,4.2
696,41,0,urban,12,66.3,5,3,0,3.8
697,61,1,urban,12,45.2,5,4,1,7.5
698,64,0,rural,15,48.6,8,5,1,7.4
699,63,0,rural,17,75.2,9,6,1,7.7
700,40,1,rural,12,25.4,2,2,0,4.0
701,56,0,rural,16,80.4,7,4,0,6.4
702,54,0,rural,15,45.8,6,6,0,7.4
703,42,1,urban,16,64.2,9,7,1,9.0
704,39,0,suburban,14,60.5,3,5,0,3.9
705,61,1,suburban,16,38.9,3,5,0,4.0
706,19,0,urban,18,40.7,4,2,0,3.8
707,42,0,urban,12,30.9,5,2,1,7.3
708,33,1,urban,15,54.0,4,2,0,4.1
709,24,1,urban,15,113.0,5,7,1,7.9
710,39,1,suburban,10,21.9,7,2,0,2.5
711,33,1,suburban,13,38.7,6,5,0,3.2
712,51,1,suburban,12,37.1,4,5,1,7.0
713,51,1,rural,12,24.5,3,3,0,4.7
714,37,1,suburban,15,70.3,3,4,0,6.5
715,35,0,suburban,13,38.1,3,3,0,6.4
716,41,0,urban,16,72.1,7,1,0,5.3
717,48,1,urban,11,31.2,6,6,0,3.0
718,74,0,urban,13,46.5,6,4,0,4.5
719,59,0,suburban,10,31.6,5,4,0,5.2
720,44,1,suburban,15,39.0,3,2,0,5.0
721,52,1,urban,14,36.9,8,5,1,6.1
722,29,1,rural,12,31.6,7,4,0,5.6
723,63,0,urban,12,41.0,6,1,0,3.5
724,61,0,suburban,13,83.8,3,2,0,4.3
725,34,1,suburban,17,78.8,7,6,1,6.6
726,28,0,rural,18,35.1,5,6,0,2.9
727,63,1,suburban,9,42.4,5,4,0,4.3
728,34,1,urban,13,43.0,9,6,0,3.8
729,60,0,suburban,10,60.3,5,2,0,4.6
730,32,0,suburban,15,60.5,4,2,0,3.3
731,70,1,suburban,15,51.4,7,6,0,5.8
732,72,0,suburban,12,39.4,4,2,0,4.6
733,18,1,suburban,16,27.4,4,7,0,4.8
734,30,0,urban,14,42.3,4,3,0,2.0
735,52,1,urban,13,42.6,7,6,0,5.5
736,76,0,urban,21,55.2,5,7,0,7.8
737,47,0,rural,13,48.4,3,5,1,6.9
738,88,1,rural,13,31.6,10,4,1,8.9
739,57,0,suburban,12,46.4,4,0,0,2.7
740,56,0,urban,10,21.2,4,4,0,3.8
741,58,0,rural,14,54.2,5,7,0,5.7
742,48,0,suburban,10,13.1,5,3,0,3.1
743,49,0,urban,16,117.1,5,6,0,7.5
744,61,0,suburban,13,33.0,7,1,0,5.3
745,51,1,urban,19,75.1,5,7,0,6.6
746,50,1,rural,18,64.5,6,6,0,5.2
747,46,0,urban,16,63.1,5,0,1,6.7
748,24,1,suburban,11,39.2,6,2,0,5.9
749,21,0,rural,13,39.4,4,2,0,1.8
750,26,0,suburban,14,67.3,6,4,0,3.7
751,18,1,rural,17,95.5,7,7,0,6.4
752,41,1,suburban,12,34.7,4,6,0,4.1
753,18,1,suburban,11,25.3,5,4,1,4.0
754,77,1,urban,14,34.1,5,4,1,10.0
755,36,0,urban,13,56.9,4,1,0,5.2
756,38,1,rural,11,33.6,4,1,0,3.1
757,53,0,suburban,8,21.1,4,0,0,2.5
758,79,0,suburban,12,51.6,10,6,0,6.7
759,18,0,urban,8,15.5,6,4,0,3.1
760,38,0,suburban,18,45.3,6,4,0,6.7
761,59,0,rural,12,38.1,4,3,1,5.7
762,46,1,suburban,12,36.2,8,8,0,7.6
763,54,0,suburban,13,25.8,4,3,0,4.4
764,66,0,suburban,12,35.5,5,5,0,6.2
765,33,1,rural,12,55.9,6,6,0,5.0
766,33,1,rural,8,26.0,3,2,0,3.7
767,47,0,rural,14,17.8,3,3,0,3.6
768,31,1,urban,16,35.7,7,6,1,7.0
769,47,0,urban,9,43.0,5,2,0,7.1
770,51,0,suburban,11,39.8,3,4,0,3.2
771,69,1,urban,13,68.4,5,5,1,6.6
772,43,1,urban,13,50.6,8,7,1,7.3
773,33,0,rural,14,52.8,4,1,1,5.6
774,62,1,suburban,8,51.2,6,0,0,5.5
775,31,1,suburban,16,41.1,8,5,0,4.5
776,48,0,rural,11,22.9,2,4,0,3.0
777,74,1,rural,12,20.0,4,3,0,4.5
778,34,0,suburban,14,15.8,1,1,0,4.3
779,43,0,rural,14,83.6,5,4,0,2.2
780,59,1,suburban,14,46.9,7,8,0,6.1
781,52,1,urban,12,51.8,8,5,0,4.8
782,83,0,urban,18,36.1,8,7,1,8.4
783,75,1,rural,14,29.6,6,5,0,7.2
784,37,1,urban,13,36.7,4,4,1,8.2
785,38,1,rural,16,43.2,6,6,1,6.7
786,46,1,rural,15,86.2,6,7,0,7.6
787,27,0,suburban,14,44.8,6,7,0,6.7
788,48,0,suburban,11,41.1,4,3,0,4.4
789,49,0,urban,18,85.6,4,4,0,4.5
790,51,0,rural,11,32.9,5,3,0,4.5
791,48,0,urban,11,63.3,7,2,0,5.7
792,65,1,suburban,14,37.2,8,7,0,8.2
793,46,1,urban,15,48.8,6,5,0,5.0
794,18,0,rural,13,21.4,5,7,0,5.5
795,26,0,rural,14,37.0,8,5,0,3.8
796,62,1,rural,14,62.2,7,3,1,7.5
797,45,1,urban,18,104.0,4,4,0,5.5
798,52,0,suburban,16,80.7,4,5,0,6.1
799,88,1,suburban,15,31.2,4,4,1,7.8
800,36,1,suburban,13,69.5,2,3,0,5.8
801,69,0,urban,11,45.3,7,7,0,5.2
802,44,0,rural,12,58.7,4,5,0,3.9
803,42,0,rural,8,35.0,2,1,0,3.7
804,49,0,urban,16,48.1,6,6,1,9.3
805,36,1,suburban,12,33.6,4,8,0,3.5
806,69,1,rural,11,25.2,5,6,0,4.2
807,64,1,urban,12,51.0,3,3,1,4.9
808,60,0,rural,18,51.3,4,6,1,6.7
809,20,0,urban,10,20.0,3,1,0,5.1
810,32,0,rural,13,48.1,8,6,0,7.5
811,69,1,suburban,14,42.4,9,7,0,8.0
812,22,0,rural,14,57.2,6,3,0,4.4
813,53,0,urban,11,31.8,6,3,0,4.2
814,24,0,urban,12,20.7,5,7,0,4.5
815,48,1,rural,15,41.6,4,4,0,3.1
816,35,1,urban,20,55.3,10,6,0,4.4
817,59,1,suburban,13,39.6,5,2,0,4.3
818,35,1,urban,15,39.0,3,6,0,3.8
819,42,1,rural,14,39.2,6,6,0,5.0
820,59,1,suburban,12,57.6,1,2,0,1.6
821,65,1,urban,12,48.2,10,5,0,6.6
822,71,0,suburban,15,71.7,5,4,0,7.1
823,34,0,urban,15,76.4,6,7,0,5.2
824,58,0,rural,13,33.7,8,5,1,7.4
825,41,1,suburban,10,26.0,1,3,0,3.0
826,51,0,suburban,11,26.4,4,3,0,3.7
827,52,0,rural,10,46.4,4,3,0,3.7
828,51,0,rural,11,29.9,7,3,0,7.6
829,57,0,suburban,15,34.0,3,2,0,2.4
830,62,0,urban,13,75.4,7,8,1,7.1
831,38,1,urban,13,59.3,4,4,1,6.8
832,27,1,suburban,15,36.2,3,2,0,2.2
833,65,0,suburban,13,33.3,3,4,0,4.0
834,18,1,rural,8,12.3,0,0,0,2.3
835,56,1,urban,13,58.0,6,5,0,4.3
836,37,0,rural,13,67.7,4,4,0,3.2
837,20,1,suburban,13,22.0,3,2,0,2.2
838,32,1,urban,10,31.6,5,4,0,5.5
839,24,0,suburban,16,28.3,6,4,0,2.6
840,56,1,rural,11,40.2,2,0,0,4.7
841,18,1,urban,19,36.0,3,7,0,5.2
842,35,1,suburban,14,32.2,6,3,0,5.1
843,45,0,urban,15,52.2,8,5,1,10.0
844,26,0,suburban,10,28.0,2,4,0,4.4
845,56,0,rural,12,44.3,5,6,0,5.0
846,48,1,rural,11,55.6,7,6,0,6.5
847,51,0,suburban,12,93.3,4,6,0,4.2
848,50,1,suburban,10,22.5,3,4,0,4.3
849,58,0,suburban,14,68.2,4,5,0,4.7
850,42,1,suburban,12,43.1,4,3,0,3.8
851,30,1,urban,13,56.3,1,2,0,2.3
852,60,1,rural,13,38.8,7,3,0,6.8
853,31,0,suburban,11,22.4,5,2,0,3.6
854,36,1,suburban,12,56.0,3,5,0,3.1
855,88,0,rural,14,27.9,6,8,0,7.1
856,62,1,urban,11,27.2,5,3,0,5.0
857,18,1,urban,14,29.0,3,1,0,2.7
858,48,0,suburban,15,83.8,3,4,0,4.3
859,57,0,urban,15,77.5,6,7,0,5.6
860,28,1,rural,13,22.6,3,4,0,3.1
861,48,1,urban,15,54.1,6,3,0,5.5
862,68,1,rural,11,64.3,6,5,0,5.6
863,57,0,rural,12,31.2,4,6,1,6.3
864,35,0,suburban,10,18.7,4,0,0,3.8
865,51,1,rural,11,33.1,6,4,0,8.5
866,76,1,urban,12,48.7,4,5,0,8.5
867,38,0,suburban,12,41.9,5,3,1,5.6
868,40,0,urban,12,35.7,8,4,0,2.8
869,50,1,urban,12,39.5,3,6,0,4.5
870,56,0,suburban,13,37.5,5,6,1,6.6
871,55,1,suburban,14,73.8,4,4,0,6.6
872,45,1,rural,8,30.7,3,2,0,4.4
873,18,0,urban,12,14.0,4,2,0,1.9
874,55,1,suburban,12,48.3,7,4,0,5.1
875,42,0,urban,10,37.1,5,7,1,6.4
876,73,1,urban,18,104.2,8,8,0,9.1
877,71,0,rural,12,39.2,5,3,0,5.2
878,88,1,urban,15,63.9,6,5,0,7.2
879,53,0,rural,11,42.2,9,3,1,7.5
880,47,1,urban,12,43.8,6,5,0,6.3
881,54,1,urban,17,65.2,8,5,1,6.4
882,39,0,rural,11,27.2,5,6,0,5.7
883,66,1,rural,15,40.5,7,8,1,7.9
884,24,1,urban,14,57.0,3,3,0,4.6
885,54,0,rural,10,43.6,6,2,0,6.6
886,61,0,suburban,12,44.4,4,3,0,5.2
887,46,0,rural,8,24.7,4,2,0,3.6
888,32,0,suburban,12,25.5,6,4,0,5.0
889,18,1,urban,11,21.7,2,2,0,3.2
890,49,1,urban,14,69.4,3,4,0,3.3
891,49,1,urban,15,50.4,6,5,1,7.5
892,48,0,urban,17,102.9,9,6,1,7.1
893,55,1,suburban,17,45.3,4,3,0,6.4
894,46,1,rural,9,32.5,5,3,0,7.0
895,19,1,urban,15,63.8,5,6,0,6.1
896,70,1,urban,13,66.1,4,5,0,5.0
897,57,1,urban,21,86.7,10,8,1,10.0
898,66,0,urban,19,55.7,8,7,1,10.0
899,26,0,suburban,12,31.0,1,1,0,1.1
900,60,1,urban,10,20.9,1,3,0,1.6
901,48,0,suburban,16,42.8,6,7,1,7.8
902,45,1,suburban,17,29.2,6,4,1,6.8
903,50,1,urban,19,52.1,7,5,1,10.0
904,79,1,suburban,16,124.4,7,8,1,7.8
905,60,1,urban,15,35.1,8,7,1,7.8
906,38,1,rural,9,23.5,5,5,0,3.4
907,45,0,suburban,13,53.8,6,4,0,4.8
908,33,1,suburban,15,44.9,4,5,1,5.9
909,51,1,suburban,15,31.6,6,2,0,6.7
910,41,1,urban,12,25.4,6,3,0,5.7
911,52,1,suburban,13,40.8,5,5,0,5.0
912,39,0,suburban,10,40.5,3,4,0,3.1
913,66,0,rural,9,22.4,6,3,0,5.9
914,86,0,suburban,13,46.4,5,6,0,7.3
915,50,1,urban,20,119.2,6,3,1,7.6
916,50,1,urban,12,30.4,7,2,0,5.1
917,60,1,rural,12,38.8,5,3,1,6.4
918,50,1,urban,12,47.5,7,5,1,6.1
919,45,0,urban,14,53.7,7,6,0,6.2
920,25,0,rural,13,23.5,2,1,0,4.6
921,47,0,suburban,12,39.3,4,7,1,6.5
922,55,0,rural,9,50.6,4,3,0,4.3
923,80,1,suburban,14,52.9,6,5,1,8.0
924,88,1,urban,14,62.8,4,6,0,4.6
925,76,0,urban,13,28.9,3,7,0,3.9
926,18,0,urban,9,12.0,3,2,0,0.0
927,53,1,suburban,14,43.1,8,5,0,9.8
928,32,1,suburban,19,64.8,5,8,0,6.5
929,60,1,rural,19,63.5,5,6,0,6.7
930,46,0,rural,11,34.4,5,3,0,4.3
931,40,0,rural,10,17.0,3,2,0,4.3
932,37,0,suburban,11,33.6,6,3,1,7.5
933,51,1,suburban,14,53.7,6,7,0,6.3
934,39,0,suburban,14,40.1,7,3,0,7.2
935,18,0,rural,13,46.2,2,4,0,2.7
936,41,1,rural,13,45.0,5,3,0,2.5
937,58,0,suburban,14,41.1,8,5,0,8.7
938,60,0,urban,13,49.3,5,3,0,3.9
939,43,1,rural,8,15.6,3,1,1,3.3
940,46,1,suburban,10,25.0,2,3,0,3.2
941,40,0,rural,12,19.7,5,4,0,5.5
942,68,1,urban,9,51.0,7,3,0,4.8
943,55,0,rural,10,51.5,2,7,0,4.5
944,47,0,rural,17,54.2,6,6,1,8.1
945,38,1,urban,17,34.8,7,7,1,6.5
946,77,0,urban,20,69.4,5,7,1,10.0
947,37,0,suburban,11,30.6,4,1,0,4.3
948,47,1,urban,12,37.0,6,2,1,6.4
949,41,1,urban,10,32.2,5,3,0,5.7
950,43,1,rural,9,26.3,4,0,0,4.9
951,30,1,urban,16,30.3,3,4,0,4.3
952,31,1,urban,13,47.7,5,1,0,2.3
953,49,1,suburban,13,73.9,5,2,0,4.6
954,63,0,suburban,20,114.6,8,8,1,9.6
955,31,0,suburban,10,40.5,3,2,0,5.7
956,43,1,urban,12,29.8,9,5,0,7.0
957,55,0,urban,13,48.1,2,3,1,6.5
958,62,1,rural,10,35.7,5,4,0,5.3
959,42,0,urban,14,36.3,9,5,0,5.4
960,56,1,suburban,19,74.2,8,6,0,6.2
961,63,1,rural,14,39.9,6,5,0,6.2
962,34,1,urban,16,69.7,6,3,1,7.7
963,38,0,suburban,14,70.8,6,1,0,6.7
964,47,1,urban,12,38.0,5,6,0,4.8
965,76,1,rural,14,33.3,5,5,0,4.7
966,45,0,urban,11,62.3,6,4,0,4.6
967,55,0,suburban,14,36.6,7,5,0,6.0
968,30,0,rural,11,51.9,6,6,0,5.9
969,50,1,rural,10,59.3,7,2,0,5.6
970,70,0,rural,13,36.3,6,6,1,7.6
971,37,0,rural,12,40.5,3,0,0,2.2
972,57,0,urban,16,36.5,8,5,0,6.6
973,75,0,suburban,11,34.3,4,4,1,6.9
974,19,0,urban,12,31.1,2,3,0,3.2
975,60,0,suburban,14,70.4,7,5,1,9.3
976,18,1,suburban,11,25.7,2,2,0,1.2
977,53,0,suburban,15,43.3,9,6,1,8.8
978,42,0,suburban,13,98.1,5,8,0,3.6
979,45,1,urban,17,67.2,7,6,1,8.1
980,30,0,urban,13,69.9,4,6,0,1.0
981,68,1,suburban,10,46.5,6,3,0,4.8
982,67,0,urban,12,55.7,7,5,0,5.1
983,44,0,urban,13,37.6,4,1,0,4.1
984,72,0,suburban,10,36.4,4,2,0,4.6
985,52,0,rural,17,95.6,8,5,0,8.7
986,25,0,rural,11,28.9,5,3,0,6.4
987,56,0,urban,9,23.1,4,3,0,4.4
988,42,1,urban,15,48.9,7,6,1,7.2
989,39,1,urban,14,56.8,2,1,0,4.0
990,36,0,suburban,8,24.7,3,1,0,3.2
991,38,1,suburban,9,19.7,5,1,1,7.0
992,27,1,urban,17,80.5,9,5,1,8.8
993,47,1,urban,17,65.5,4,4,0,5.1
994,33,0,rural,8,15.4,6,1,0,3.5
995,58,0,rural,9,23.8,5,3,0,3.7
996,41,0,rural,10,21.1,5,2,0,4.4
997,41,1,suburban,15,36.6,5,7,1,8.9
998,45,0,rural,13,88.1,7,7,1,8.7
999,47,0,suburban,15,63.5,7,3,0,5.9
1000,32,1,rural,8,16.6,3,0,0,3.7
1001,42,0,urban,8,30.9,2,0,0,2.8
1002,43,0,rural,12,39.3,5,4,0,6.6
1003,52,1,urban,9,43.6,6,5,0,4.9
1004,57,1,suburban,14,68.0,8,6,0,7.5
1005,60,1,urban,13,55.9,7,5,1,8.8
1006,18,0,rural,8,22.8,2,1,0,3.2
1007,86,1,rural,10,18.5,4,2,0,5.3
1008,34,1,suburban,12,22.9,6,3,0,2.8
1009,69,1,suburban,12,33.7,6,5,0,4.5
1010,39,1,rural,15,96.0,5,5,0,4.5
1011,38,1,urban,20,98.5,8,8,0,5.9
1012,73,1,urban,14,36.5,6,7,0,7.3
1013,72,1,urban,12,24.9,5,6,0,4.5
1014,64,0,urban,20,74.5,10,8,1,10.0
1015,26,0,suburban,13,34.9,4,4,0,2.7
1016,31,1,urban,10,23.5,4,2,0,5.0
1017,53,0,suburban,10,40.6,3,2,0,4.1
1018,59,1,urban,15,39.8,7,8,1,9.5
1019,41,1,urban,14,47.4,7,6,1,9.7
1020,58,0,urban,14,69.0,6,5,1,7.2
1021,61,0,urban,16,120.6,8,6,0,7.2
1022,28,0,rural,14,47.6,6,6,0,7.3
1023,24,0,urban,12,37.2,5,4,0,5.2
1024,49,0,suburban,16,56.8,6,2,0,6.0
1025,28,0,suburban,14,48.9,3,6,0,3.6
1026,36,0,suburban,16,60.2,8,6,1,8.7
1027,88,1,suburban,10,23.2,3,5,0,4.6
1028,49,1,rural,15,51.6,4,1,0,4.1
1029,48,1,suburban,11,17.3,6,0,0,2.7
1030,54,1,rural,18,65.4,10,6,1,9.1
1031,61,1,urban,16,54.6,9,6,0,8.7
1032,38,0,suburban,16,49.0,3,5,0,4.7
1033,55,1,suburban,16,56.5,8,6,0,7.5
1034,75,0,suburban,12,55.2,9,7,0,7.5
1035,54,0,rural,13,56.5,6,5,1,7.1
1036,75,1,rural,13,40.0,6,6,1,7.2
1037,40,1,suburban,12,20.6,1,1,1,4.7
1038,84,0,suburban,10,39.8,7,5,0,7.4
1039,54,1,suburban,11,57.9,7,3,0,8.6
1040,66,0,rural,14,34.2,4,1,0,4.1
1041,36,1,urban,12,26.8,5,2,0,3.9
1042,34,0,urban,15,23.8,5,6,1,5.4
1043,22,1,urban,18,19.6,5,6,1,6.1
1044,50,0,suburban,12,37.5,5,4,0,4.9
1045,74,1,suburban,15,37.3,6,2,0,6.9
1046,36,1,rural,13,35.6,5,2,0,5.5
1047,30,1,suburban,15,21.5,2,5,0,1.7
1048,55,1,suburban,14,43.1,7,7,1,5.8
1049,44,1,rural,13,45.1,6,4,0,5.6
1050,39,0,suburban,14,29.5,5,3,1,6.2
1051,61,0,urban,17,87.9,8,7,1,8.0
1052,49,1,suburban,11,25.7,5,1,0,6.9
1053,47,0,rural,14,46.6,6,5,0,5.2
1054,55,1,rural,12,83.5,5,2,1,6.2
1055,71,0,suburban,11,43.1,4,6,0,5.2
1056,39,1,urban,14,56.8,4,3,0,4.3
1057,18,0,suburban,13,20.5,5,5,0,6.0
1058,82,1,rural,12,26.7,6,5,0,4.5
1059,76,1,rural,13,28.8,5,6,0,7.7
1060,24,0,suburban,16,55.8,5,4,1,6.2
1061,62,0,suburban,12,54.2,7,1,1,6.4
1062,36,1,suburban,16,59.9,7,8,1,8.4
1063,29,1,urban,11,31.3,7,4,0,4.2
1064,64,0,suburban,15,62.4,5,2,1,6.3
1065,35,0,suburban,13,39.5,2,5,0,4.6
1066,48,0,urban,12,48.5,4,5,0,2.5
1067,34,0,rural,11,25.1,5,4,0,3.7
1068,61,0,urban,13,37.9,8,6,1,8.7
1069,26,0,rural,12,22.3,8,5,0,6.0
1070,88,1,suburban,12,35.4,4,1,0,4.6
1071,45,1,suburban,9,36.5,6,4,0,5.9
1072,53,1,urban,13,39.2,4,4,1,7.3
1073,55,1,urban,18,50.3,6,6,1,7.6
1074,82,0,suburban,10,59.5,6,7,0,6.6
1075,37,1,urban,15,33.3,2,3,0,3.1
1076,60,0,suburban,13,48.6,6,4,0,6.6
1077,57,1,suburban,15,60.8,6,4,0,6.3
1078,39,0,rural,17,33.1,6,0,0,4.6
1079,35,0,suburban,14,35.5,3,1,0,3.0
1080,39,1,urban,14,47.7,5,6,0,5.6
1081,63,1,rural,10,41.3,7,7,0,6.2
1082,58,1,suburban,9,16.8,6,2,0,5.9
1083,64,1,suburban,16,61.5,7,6,1,9.1
1084,33,1,urban,15,61.1,5,5,0,7.3
1085,33,0,suburban,17,27.7,5,2,0,4.7
1086,36,0,suburban,16,50.5,6,2,1,6.4
1087,45,1,suburban,15,82.3,7,4,0,5.5
1088,20,1,suburban,11,10.8,3,3,0,3.8
1089,32,0,rural,8,23.0,5,3,0,3.4
1090,65,1,rural,12,29.9,5,2,0,3.9
1091,46,0,suburban,13,45.8,5,3,0,3.9
1092,49,0,suburban,13,47.5,1,3,0,3.1
1093,37,0,rural,10,20.3,2,6,0,2.4
1094,73,0,suburban,12,49.3,7,7,0,8.2
